h_tract,jobs_2011,jobs_2023,change,pct_change
48329010127,0.0,6.0,6.0,
48027021901,0.0,6.0,6.0,
48027023114,0.0,6.0,6.0,
48029121122,0.0,6.0,6.0,
48265960500,0.0,6.0,6.0,
48027023113,0.0,6.0,6.0,
48029121601,0.0,6.0,6.0,
48029191411,0.0,6.0,6.0,
48439114110,0.0,6.0,6.0,
48029191413,1.0,7.0,6.0,600.0
48279950600,0.0,6.0,6.0,
48303000402,0.0,6.0,6.0,
48453045400,0.0,6.0,6.0,
48029181005,0.0,6.0,6.0,
48219950300,0.0,6.0,6.0,
48487950600,1.0,7.0,6.0,600.0
48487950500,0.0,6.0,6.0,
48027023202,0.0,6.0,6.0,
48029120902,0.0,6.0,6.0,
48029120702,0.0,6.0,6.0,
48113018700,0.0,6.0,6.0,
48163950102,1.0,7.0,6.0,600.0
48163950201,4.0,10.0,6.0,150.0
48029181704,0.0,6.0,6.0,
48201540101,0.0,6.0,6.0,
48465950702,0.0,6.0,6.0,
48465950602,0.0,6.0,6.0,
48201554408,0.0,6.0,6.0,
48503950500,0.0,6.0,6.0,
48143950204,0.0,6.0,6.0,
48029171802,0.0,6.0,6.0,
48021950504,0.0,5.0,5.0,
48023950302,0.0,5.0,5.0,
48077030200,0.0,5.0,5.0,
48507950302,0.0,5.0,5.0,
48411950200,0.0,5.0,5.0,
48389950400,87.0,92.0,5.0,5.747126436781609
48491020816,1.0,6.0,5.0,500.0
48491020405,0.0,5.0,5.0,
48491020345,2.0,7.0,5.0,250.0
48381021200,0.0,5.0,5.0,
48381021101,0.0,5.0,5.0,
48381020900,0.0,5.0,5.0,
48465950801,0.0,5.0,5.0,
48465950301,6.0,11.0,5.0,83.33333333333334
48029180902,0.0,5.0,5.0,
48463950500,0.0,5.0,5.0,
48029171903,0.0,5.0,5.0,
48029171700,0.0,5.0,5.0,
48061011701,0.0,5.0,5.0,
48061010802,0.0,5.0,5.0,
48491020409,0.0,5.0,5.0,
48491020408,0.0,5.0,5.0,
48085031331,0.0,5.0,5.0,
48367140603,0.0,5.0,5.0,
48027022503,3.0,8.0,5.0,166.66666666666669
48113016803,0.0,5.0,5.0,
48029172003,0.0,5.0,5.0,
48201555704,0.0,5.0,5.0,
48209010923,0.0,5.0,5.0,
48027022407,0.0,5.0,5.0,
48027022105,0.0,5.0,5.0,
48027022103,0.0,5.0,5.0,
48027022101,0.0,5.0,5.0,
48367140403,0.0,5.0,5.0,
48367140202,0.0,5.0,5.0,
48445950300,0.0,5.0,5.0,
48441013502,0.0,5.0,5.0,
48439114013,0.0,5.0,5.0,
48221160210,0.0,5.0,5.0,
48259970101,0.0,5.0,5.0,
48463950400,0.0,5.0,5.0,
48463950300,0.0,5.0,5.0,
48453046100,0.0,5.0,5.0,
48053960302,1.0,6.0,5.0,500.0
48375011500,0.0,5.0,5.0,
48053960702,0.0,5.0,5.0,
48491020106,0.0,5.0,5.0,
48451000700,0.0,5.0,5.0,
48439114109,0.0,5.0,5.0,
48333950200,0.0,5.0,5.0,
48027021907,0.0,5.0,5.0,
48027021906,0.0,5.0,5.0,
48027023115,0.0,5.0,5.0,
48027023203,0.0,5.0,5.0,
48029120701,0.0,5.0,5.0,
48029120401,0.0,5.0,5.0,
48029190100,0.0,5.0,5.0,
48221160303,0.0,5.0,5.0,
48329000100,12.0,17.0,5.0,41.66666666666667
